Food Item,Quantity,Calories (kcal),Protein (g),Carbohydrates(g),Fats (g),Breakfast,Lunch,Dinner,veg/nonveg
Rajma Chawal,1.0,450.0,22.5,55.0,17.5,0.0,1.0,1.0,1.0
Butter Chicken,1.0,350.0,22.5,12.5,17.5,0.0,1.0,1.0,0.0
Dosa,1.0,125.0,3.5,22.5,3.5,1.0,0.0,0.0,1.0
Paneer Tikka,1.0,175.0,12.5,3.5,12.5,0.0,1.0,1.0,1.0
Samosa,1.0,175.0,7.5,17.5,12.5,1.0,0.0,0.0,1.0
Chole Bhature,1.0,450.0,12.5,55.0,17.5,1.0,0.0,0.0,1.0
Pani Puri,6.0,175.0,3.5,35.0,7.5,1.0,0.0,0.0,1.0
Idli,2.0,125.0,7.5,22.5,3.5,1.0,0.0,0.0,1.0
Chicken Tikka,1.0,175.0,22.5,3.5,7.5,0.0,1.0,1.0,0.0
Gulab Jamun,2.0,225.0,7.5,35.0,12.5,0.0,0.0,1.0,1.0
Prawn Curry,1.0,225.0,17.5,7.5,12.5,0.0,1.0,1.0,0.0
Masala Dosa,1.0,225.0,7.5,45.0,7.5,1.0,0.0,0.0,1.0
Chicken Biryani,1.0,450.0,22.5,55.0,17.5,0.0,1.0,1.0,0.0
Pav Bhaji,1.0,350.0,12.5,55.0,12.5,1.0,0.0,0.0,1.0
Malai Kofta,1.0,225.0,7.5,22.5,12.5,0.0,1.0,1.0,1.0
Rasgulla,1.0,125.0,3.5,22.5,3.5,0.0,0.0,1.0,1.0
Tandoori Roti,3.0,350.0,5.0,45.0,5.0,0.0,1.0,1.0,1.0
Chicken Curry,1.0,350.0,22.5,12.5,17.5,0.0,1.0,1.0,0.0
Masala Papad,1.0,60.0,3.5,7.5,3.5,0.0,1.0,1.0,1.0
Aloo Paratha,1.0,225.0,7.5,35.0,12.5,1.0,1.0,0.0,1.0
Vegetable Biryani,1.0,350.0,12.5,45.0,12.5,0.0,1.0,1.0,1.0
Prawn Fry,1.0,225.0,17.5,7.5,12.5,0.0,1.0,1.0,0.0
Rasmalai,1.0,125.0,7.5,17.5,7.5,0.0,0.0,1.0,1.0
Gobi Manchurian,1.0,225.0,7.5,22.5,12.5,1.0,0.0,0.0,1.0
Chicken Korma,1.0,350.0,22.5,7.5,17.5,0.0,1.0,1.0,0.0
Onion Pakoda,1.0,225.0,7.5,22.5,12.5,1.0,0.0,0.0,1.0
Pesarattu,1.0,175.0,7.5,35.0,3.5,1.0,0.0,0.0,1.0
Chicken 65,1.0,225.0,17.5,3.5,12.5,1.0,0.0,0.0,0.0
Mysore Pak,1.0,125.0,3.5,22.5,7.5,0.0,1.0,1.0,1.0
Roti,3.0,245.0,5.0,27.5,5.0,0.0,1.0,1.0,1.0
Palak Paneer,1.0,225.0,12.5,12.5,12.5,0.0,1.0,1.0,1.0
Chicken Fried Rice,1.0,350.0,22.5,35.0,12.5,0.0,1.0,1.0,0.0
Aloo Tikki,1.0,60.0,3.5,12.5,3.5,1.0,0.0,0.0,1.0
Mutton Biryani,1.0,450.0,22.5,55.0,17.5,0.0,1.0,1.0,0.0
Chicken Shawarma,1.0,350.0,22.5,35.0,17.5,0.0,0.0,1.0,0.0
Ghee Rice,1.0,350.0,3.5,55.0,12.5,0.0,1.0,1.0,1.0
Veg Pulao,1.0,225.0,7.5,45.0,7.5,0.0,1.0,1.0,1.0
Chicken Lollipop,1.0,225.0,17.5,3.5,12.5,1.0,0.0,0.0,0.0
Mutton Curry,1.0,350.0,17.5,12.5,17.5,0.0,1.0,1.0,0.0
Veg Manchurian,1.0,225.0,7.5,22.5,12.5,1.0,0.0,0.0,1.0
Chicken Kebab,1.0,125.0,12.5,3.5,7.5,1.0,1.0,0.0,0.0
Medu Vada,1.0,90.0,3.5,12.5,7.5,1.0,0.0,0.0,1.0
Bhindi Masala,1.0,125.0,7.5,12.5,7.5,0.0,1.0,1.0,1.0
Veg Fried Rice,1.0,225.0,7.5,35.0,7.5,0.0,1.0,1.0,1.0
Prawn Masala,1.0,225.0,17.5,7.5,12.5,0.0,1.0,1.0,0.0
Gajar Halwa,1.0,225.0,7.5,45.0,7.5,0.0,1.0,0.0,1.0
Tomato Rice,1.0,225.0,7.5,45.0,7.5,0.0,1.0,1.0,1.0
Mango,1.0,150.0,1.0,40.0,0.6,1.0,1.0,1.0,1.0
Apple,1.0,95.0,0.5,25.0,0.4,1.0,1.0,1.0,1.0
Banana,1.0,105.0,1.3,27.0,0.4,1.0,1.0,1.0,1.0
Orange,1.0,62.0,1.2,15.0,0.2,1.0,1.0,1.0,1.0
Grapes,1.0,62.0,0.6,16.0,0.2,1.0,1.0,1.0,1.0
Watermelon,1.0,46.0,0.9,11.0,0.2,1.0,1.0,1.0,1.0
Pineapple,1.0,82.0,0.9,22.0,0.2,1.0,1.0,1.0,1.0
Pomegranate,1.0,83.0,1.7,18.0,1.2,1.0,1.0,1.0,1.0
Papaya,1.0,55.0,0.5,14.0,0.3,1.0,1.0,1.0,1.0
Strawberry,1.0,50.0,1.0,11.0,0.5,1.0,1.0,1.0,1.0
Rice (cooked),1.0,205.0,4.3,45.0,0.4,0.0,1.0,1.0,1.0
Wheat Roti,3.0,300.0,4.0,45.0,3.0,0.0,1.0,1.0,1.0
Brown Rice,1.0,216.0,5.0,45.0,1.8,0.0,1.0,1.0,1.0
Oats,1.0,147.0,5.9,27.0,2.5,1.0,0.0,0.0,1.0
Fried Soyabeans,1.0,200.0,5.0,19.0,2.6,1.0,1.0,0.0,1.0
Rava Upma,1.0,180.0,4.0,32.0,4.0,1.0,0.0,0.0,1.0
Poha,1.0,270.0,6.0,52.0,3.0,1.0,0.0,0.0,1.0
Uttapam,1.0,200.0,4.0,30.0,6.0,1.0,0.0,0.0,1.0
Sambar,1.0,110.0,3.0,20.0,2.0,0.0,1.0,1.0,1.0
Rasam,1.0,75.0,2.0,15.0,1.0,0.0,1.0,1.0,1.0
Vada,1.0,125.0,4.0,20.0,4.0,1.0,0.0,0.0,1.0
Rava Dosa,1.0,160.0,4.0,24.0,6.0,1.0,0.0,0.0,1.0
Biryani,1.0,250.0,6.0,35.0,10.0,0.0,1.0,1.0,0.0
Chicken Tikka Masala,1.0,330.0,20.0,12.0,23.0,0.0,1.0,1.0,0.0
Bhel Puri,1.0,285.0,5.0,40.0,12.0,1.0,0.0,0.0,1.0
Jalebi,1.0,150.0,2.0,30.0,5.0,0.0,1.0,1.0,1.0
Lassi,1.0,150.0,6.0,20.0,4.0,1.0,1.0,1.0,1.0
Masala Chai,1.0,150.0,2.0,12.0,9.0,1.0,0.0,0.0,1.0
Filter Coffee,1.0,80.0,1.0,14.0,1.0,1.0,0.0,0.0,1.0
Coconut Chutney,2.0,60.0,0.6,4.0,5.5,1.0,1.0,1.0,1.0
Tomato Chutney,2.0,40.0,0.8,9.0,0.4,1.0,1.0,1.0,1.0
Tamarind Chutney,2.0,80.0,0.5,20.0,0.5,1.0,1.0,1.0,1.0
Raita,1.0,70.0,3.0,6.0,3.0,0.0,1.0,1.0,1.0
Upma,1.0,220.0,4.0,38.0,6.0,1.0,0.0,0.0,1.0
Lemon Rice,1.0,200.0,4.0,40.0,4.0,0.0,0.0,1.0,1.0
Lemon Pickle,1.0,50.0,0.5,10.0,1.0,0.0,1.0,1.0,1.0
